Region,1990U,2010U,1990A,2010A,1990R,2010R,UHI,CC,Significance,City
6,5,5,15,5,80,90,0,0,NA,A
1,30,30,0,0,70,70,1,1,1,B
6,20,50,50,50,30,0,0,0,NA,C
4,40,50,20,30,40,20,1,1,1,D
4,0,0,0,0,100,100,0,1,1,E
4,10,15,0,0,90,85,0,0,NA,F
6,15,15,0,0,85,85,1,1,1,G
2,2,2,0,0,98,98,0,0,NA,H
4,40,50,30,20,30,30,1,1,1,I
4,0,0,0,0,100,100,0,0,NA,J
2,0,0,25,25,75,75,0,0,NA,K
3,30,30,5,5,65,65,0,0,NA,L
3,60,70,0,0,40,30,0,1,1,M
5,0,0,0,0,100,100,0,0,NA,N
1,25,25,0,0,75,75,0,1,1,O
2,10,10,40,40,50,50,0,0,NA,P
6,0,0,10,10,90,90,0,0,NA,Q
2,2,2,38,30,60,68,0,0,NA,R
1,25,25,0,0,75,75,0,1,1,S
2,10,15,90,85,0,0,0,1,1,T
7,5,5,25,0,70,95,0,0,NA,U
1,70,75,0,0,30,25,0,1,1,V
6,15,15,20,20,65,65,0,0,NA,W
4,5,5,95,95,0,0,1,0,1,X
4,20,40,0,0,80,60,1,1,1,Y
5,10,10,0,0,90,90,1,0,1,Z
4,0,1,0,0,100,99,0,0,NA,AA
1,5,10,5,20,90,70,0,0,NA,BB
6,0,0,0,0,100,100,1,1,1,CC
7,0,0,70,80,30,20,0,0,NA,DD
1,0,0,0,0,100,100,0,0,NA,EE
6,25,25,0,0,75,75,1,1,1,FF
6,20,20,60,60,20,20,1,1,1,GG
1,60,60,0,0,40,40,0,0,NA,HH
6,10,20,0,0,90,80,0,1,1,II
5,0,5,40,50,60,45,0,1,1,JJ
4,10,10,35,40,55,50,0,1,1,KK
6,40,10,0,0,60,90,0,0,NA,LL
6,25,20,75,80,0,0,1,0,1,MM
5,15,20,0,0,85,80,1,1,1,NN
1,75,95,0,0,25,5,0,1,1,OO
1,0,5,0,0,100,95,0,0,NA,PP
6,25,20,75,80,0,0,1,1,1,QQ
6,5,10,0,0,100,95,0,0,NA,RR
2,10,10,0,0,90,90,0,1,1,SS
2,0,0,0,0,100,100,0,0,NA,TT
2,5,20,85,75,10,5,0,1,1,UU
6,0,10,0,0,100,90,0,0,NA,VV
7,25,35,0,0,75,65,0,0,NA,WW
6,5,5,0,0,95,95,0,0,NA,XX
7,0,0,15,20,85,80,1,1,1,YY
4,0,0,0,0,100,100,0,1,1,ZZ
6,25,20,0,0,75,80,0,0,NA,AAA
2,2,2,0,0,98,98,1,1,1,BBB
6,5,5,10,15,85,80,1,1,1,CCC
1,85,80,0,0,15,20,0,0,NA,DDD
1,25,20,0,0,75,80,0,1,1,EEE
2,20,20,80,80,0,0,1,1,1,FFF
2,0,0,10,15,90,85,0,1,1,GGG
4,0,0,0,0,100,100,0,0,NA,HHH
1,25,35,0,0,75,65,1,0,1,III
1,80,80,0,0,20,20,0,0,NA,JJJ
6,30,40,20,30,50,30,0,0,NA,KKK
6,5,10,0,0,95,90,0,1,1,LLL
4,0,0,100,100,0,0,1,0,1,MMM
7,5,5,20,20,75,75,1,0,1,NNN
5,0,0,50,50,50,50,0,1,1,OOO
5,0,0,0,0,100,100,0,0,NA,PPP
4,10,15,25,30,65,55,0,0,NA,QQQ
4,0,5,0,0,100,95,0,1,1,RRR
4,0,0,0,0,100,100,0,0,NA,SSS
6,10,10,0,0,90,90,1,1,1,TTT
2,0,0,0,0,100,100,0,1,1,UUU
3,10,15,0,0,90,85,0,0,NA,VVV
5,20,20,0,0,80,80,0,0,NA,WWW
6,10,10,20,10,70,80,0,0,NA,XXX
2,0,0,0,0,100,100,0,0,NA,YYY
5,15,15,55,55,30,30,1,1,1,ZZZ
2,0,20,0,0,100,80,0,1,1,AAAA
4,0,0,0,0,100,100,1,1,1,BBBB
3,15,25,50,45,35,30,0,0,NA,CCCC
4,0,0,0,0,100,100,0,1,1,DDDD
2,15,15,85,85,0,0,0,0,NA,EEEE
2,5,5,15,15,80,80,0,1,1,FFFF
2,40,70,30,0,30,30,0,1,1,GGGG
2,35,35,0,0,65,65,0,0,NA,HHHH
2,3,3,0,0,97,97,0,0,NA,IIII
6,0,0,0,0,100,100,0,0,NA,JJJJ
5,75,75,0,0,25,25,0,1,1,KKKK
4,80,90,20,10,0,0,0,1,1,LLLL
3,3,5,40,40,58,55,1,1,1,MMMM
1,25,30,0,0,75,70,0,1,1,NNNN
6,10,10,55,55,35,35,0,0,NA,OOOO
4,5,5,75,75,20,20,1,1,1,PPPP
4,0,3,45,40,55,58,1,0,1,QQQQ
4,10,10,60,60,30,30,1,0,1,RRRR
4,25,35,15,25,60,40,1,0,NA,SSSS
4,0,0,0,0,100,100,0,1,1,TTTT
4,20,20,80,80,0,0,0,1,1,UUUU
1,90,90,0,0,10,10,0,1,1,VVVV
1,100,100,0,0,0,0,0,0,NA,WWWW
4,0,0,100,100,0,0,1,1,1,XXXX
3,40,40,0,0,60,60,0,1,1,YYYY
4,30,30,70,70,0,0,0,1,1,ZZZZ
5,0,0,5,0,95,100,0,0,NA,AAAAA
4,15,15,0,0,85,85,0,0,NA,BBBBB
6,35,45,65,55,0,0,0,1,1,CCCCC
2,0,0,100,100,0,0,0,0,NA,DDDDD
4,20,25,80,75,0,0,0,1,1,EEEEE
6,0,0,0,0,100,100,0,1,1,FFFFF
2,0,0,0,0,100,100,0,0,NA,GGGGG
4,45,65,55,35,0,0,0,1,1,HHHHH
3,70,75,30,25,0,0,0,0,NA,IIIII
7,0,0,0,0,100,100,0,0,NA,JJJJJ
3,45,65,55,35,0,0,1,1,1,KKKKK
3,15,15,5,5,80,80,0,1,1,LLLLL
3,0,0,0,0,100,100,0,0,NA,MMMMM
1,0,0,0,0,100,100,0,0,NA,NNNNN
2,10,15,0,0,90,85,0,0,NA,OOOOO
5,35,35,25,25,40,40,0,1,1,PPPPP
2,5,5,0,0,95,95,0,1,1,QQQQQ
6,80,70,0,0,20,20,0,0,NA,RRRRR
1,5,5,70,50,25,45,0,1,1,SSSSS
4,5,10,95,90,0,0,0,0,NA,TTTTT
1,35,50,0,0,65,50,1,1,1,UUUUU
1,50,75,0,0,50,25,0,0,NA,VVVVV
1,75,75,0,0,25,25,0,0,NA,WWWWW
3,70,70,0,0,30,30,0,0,NA,XXXXX
1,50,50,0,0,50,50,1,1,1,YYYYY
1,55,55,10,10,35,35,0,0,NA,ZZZZZ